Date,Region,"Inpatient Hospitalizations","ICU Hospitalizations"
2020/05/13,"Central (excluding Saskatoon)",0,0
2020/05/13,Saskatoon,3,3
2020/05/13,"South (excluding Regina)",0,0
2020/05/13,Regina,0,0
2020/05/13,Total,7,3
2020/05/14,"Far North",0,0
2020/05/14,North,3,0
2020/05/14,"Central (excluding Saskatoon)",0,0
2020/05/14,Saskatoon,3,3
2020/05/14,"South (excluding Regina)",0,0
2020/05/14,Regina,1,0
2020/05/14,Total,7,3
2020/05/15,"Far North",0,0
2020/05/15,North,1,0
2020/05/15,"Central (excluding Saskatoon)",0,0
2020/05/15,Saskatoon,3,3
2020/05/15,"South (excluding Regina)",0,0
2020/05/15,Regina,2,0
2020/05/15,Total,6,3
2020/05/16,"Far North",0,0
2020/05/16,North,1,0
2020/05/16,"Central (excluding Saskatoon)",0,0
2020/05/16,Saskatoon,2,3
2020/05/16,"South (excluding Regina)",0,0
2020/05/16,Regina,2,0
2020/05/16,Total,5,3
