Date,Region,"New Cases","Total Cases","Confirmed Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths
2020/04/18,"South (excluding Regina)",0,15,15,2,0,0,13,0
2020/04/18,Regina,1,70,70,17,2,1,52,1
2020/04/18,Total,6,313,310,75,4,1,234,4
2020/04/19,"Far North",1,11,11,9,0,0,2,0
2020/04/19,North,0,59,59,7,0,0,51,1
2020/04/19,"Central (excluding Saskatoon)",0,11,11,3,0,0,7,1
2020/04/19,Saskatoon,1,149,148,39,2,0,109,1
2020/04/19,"South (excluding Regina)",0,15,15,2,0,0,13,0
2020/04/19,Regina,0,70,70,17,1,1,52,1
2020/04/19,Total,2,315,314,77,3,1,234,4
2020/04/20,"Far North",0,11,11,9,0,0,2,0
2020/04/20,North,1,60,60,7,0,0,52,1
2020/04/20,"Central (excluding Saskatoon)",0,11,11,3,0,0,7,1
2020/04/20,Saskatoon,0,149,149,38,2,0,110,1
2020/04/20,"South (excluding Regina)",0,15,15,2,0,0,13,0
2020/04/20,Regina,0,70,70,15,1,1,54,1
2020/04/20,Total,1,316,316,74,3,1,238,4
2020/04/21,"Far North",2,13,13,11,0,0,2,0
2020/04/21,North,0,60,60,7,1,0,52,1
2020/04/21,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/21,Saskatoon,1,150,150,29,2,0,120,1
2020/04/21,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/21,Regina,1,71,71,14,1,1,56,1
2020/04/21,Total,4,320,320,64,4,1,252,4
2020/04/22,"Far North",5,18,18,16,0,0,2,0
2020/04/22,North,1,61,61,5,1,0,55,1
2020/04/22,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/22,Saskatoon,0,150,150,24,1,1,125,1
2020/04/22,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/22,Regina,0,71,71,13,2,0,57,1
2020/04/22,Total,6,326,326,61,4,1,261,4
2020/04/23,"Far North",4,22,21,19,0,0,3,0
2020/04/23,North,1,62,62,5,1,0,56,1
2020/04/23,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/23,Saskatoon,0,150,150,20,2,1,129,1
2020/04/23,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/23,Regina,0,71,71,10,2,0,60,1
2020/04/23,Total,5,331,330,57,5,1,270,4
2020/04/24,"Far North",6,28,27,25,0,0,3,0
2020/04/24,North,2,64,64,7,1,0,56,1
2020/04/24,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/24,Saskatoon,0,150,150,13,1,2,136,1
2020/04/24,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/24,Regina,2,73,73,9,1,0,63,1
2020/04/24,Total,10,341,340,57,3,2,280,4
2020/04/25,"Far North",7,35,33,32,0,0,3,0
2020/04/25,North,1,65,65,6,1,0,58,1
2020/04/25,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/25,Saskatoon,0,150,150,7,1,2,142,1
2020/04/25,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/25,Regina,0,73,73,9,0,0,63,1
2020/04/25,Total,8,349,347,57,2,2,288,4
2020/04/26,"Far North",0,35,35,32,0,0,3,0
2020/04/26,North,3,68,68,9,1,0,58,1
2020/04/26,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/26,Saskatoon,0,150,150,7,2,2,142,1
2020/04/26,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/26,Regina,1,74,74,10,0,0,63,1
2020/04/26,Total,4,353,353,61,3,2,288,4
2020/04/27,"Far North",11,46,46,42,0,0,3,1
2020/04/27,North,1,69,69,10,3,0,58,1
2020/04/27,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/27,Saskatoon,0,150,150,7,2,2,142,1
2020/04/27,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/27,Regina,0,74,74,10,0,0,63,1
2020/04/27,Total,12,365,365,72,5,2,288,5
2020/04/28,"Far North",0,46,46,42,0,0,3,1
2020/04/28,North,0,69,69,9,3,0,59,1
2020/04/28,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/28,Saskatoon,0,150,150,7,3,2,142,1
2020/04/28,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/28,Regina,1,75,75,9,0,0,65,1
2020/04/28,Total,1,366,366,70,6,2,291,5
2020/04/29,"Far North",11,57,57,52,0,0,3,2
2020/04/29,North,5,74,74,14,4,0,59,1
2020/04/29,"Central (excluding Saskatoon)",0,11,11,2,0,0,8,1
2020/04/29,Saskatoon,1,151,151,8,3,3,142,1
2020/04/29,"South (excluding Regina)",0,15,15,1,0,0,14,0
2020/04/29,Regina,0,75,75,9,0,0,65,1
2020/04/29,Total,17,383,383,86,7,3,291,6
2020/04/30,"Far North",1,58,58,50,0,0,7,1
2020/04/30,North,3,77,77,19,4,0,57,1
2020/04/30,"Central (excluding Saskatoon)",0,11,11,1,0,0,9,1
2020/04/30,Saskatoon,2,153,153,11,3,3,140,2
2020/04/30,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/04/30,Regina,0,75,75,7,0,0,67,1
2020/04/30,Total,6,389,389,88,7,3,295,6
2020/05/01,"Far North",19,77,77,68,0,0,8,1
2020/05/01,North,4,81,81,23,4,0,57,1
2020/05/01,"Central (excluding Saskatoon)",0,11,11,1,0,0,9,1
2020/05/01,Saskatoon,3,156,156,14,3,3,140,2
2020/05/01,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/01,Regina,0,75,75,6,0,0,68,1
2020/05/01,Total,26,415,415,112,7,3,297,6
2020/05/02,"Far North",0,77,77,66,0,0,10,1
2020/05/02,North,4,85,85,27,5,0,57,1
